Title,Video ID,Artist,Song
Fin Argus & Sabrina Carpenter - Fix Me Up (Lyrics) (From the Disney+ Original Movie 'Clouds'),YkakzheHJUQ,Fin Argus & Sabrina Carpenter,Fix Me Up (Lyrics) (From the Disney+ Original Movie 'Clouds')
Fin Argus & Sabrina Carpenter - Clouds (Lyrics) (From the Disney+ Original Movie 'Clouds'),OzMupKnflrM,Fin Argus & Sabrina Carpenter,Clouds (Lyrics) (From the Disney+ Original Movie 'Clouds')
Naoki Urasawa's Monster Opening | Remastered in 1080p,EYdCd00TJhI,Unknown,Naoki Urasawa's Monster Opening | Remastered in 1080p
David Sylvian -  For the Love of Life (Monster Ending Theme) LYRICS,ruQsv709MA0,David Sylvian,For the Love of Life (Monster Ending Theme) LYRICS
Sun Rai - San Francisco Street,9zEl-FQLI4A,Sun Rai,San Francisco Street
P. Tchaikovsky - Pas de Deux ('The Nutcracker'),YR5USHu6D6U,P. Tchaikovsky,Pas de Deux ('The Nutcracker')
Тёмная ночь - Temnaya Noch - (Dark Night) - Piano Version,IJS7M3J2Xos,Тёмная ночь,Temnaya Noch - (Dark Night) - Piano Version
Eleni Karaindrou - By The Sea ( 1998 ),0pjJLwiB0Nk,Eleni Karaindrou,By The Sea ( 1998 )
Alice Merton - Why So Serious (Official Video),45Fvy5h38KI,Alice Merton,Why So Serious (Official Video)
Take your trench coat- Soviet WW2 Song,eCVm4l1WFMs,Unknown,Take your trench coat- Soviet WW2 Song
Tchaikovsky - Valse Sentimentale,rUuusqy50yk,Tchaikovsky,Valse Sentimentale
Milky Chance - Stolen Dance (Official Video),iX-QaNzd-0Y,Milky Chance,Stolen Dance (Official Video)
Kashmir - Surfing The Warm Industry,5-441uxB7Zw,Kashmir,Surfing The Warm Industry
Stuck In the Sound - Let's Go [Official Video],52Gg9CqhbP8,Stuck In the Sound,Let's Go [Official Video]
Sadhai Sadhai Mantra | Official Music Video,3tQZIkWXUXM,Unknown,Sadhai Sadhai Mantra | Official Music Video
Sam Smith - I'm Not The Only One (Official Music Video),nCkpzqqog4k,Sam Smith,I'm Not The Only One (Official Music Video)
YOASOBI - Racing Into The Night Lyrics (JPN_ROM_ENG),xtfXl7TZTac,YOASOBI,Racing Into The Night Lyrics (JPN_ROM_ENG)
Galileo Galilei - Aoi Shiori,T3bxbVGWy5k,Galileo Galilei,Aoi Shiori
Alice Merton - No Roots,PUdyuKaGQd4,Alice Merton,No Roots
U2 - With Or Without You (Official Music Video),ujNeHIo7oTE,U2,With Or Without You (Official Music Video)
Money Heist - Soundtrack (My Life is Going On) - Cecilia Krull,HkjaFXNEcvE,Money Heist,Soundtrack (My Life is Going On) - Cecilia Krull
The Killers - Mr. Brightside (Official Music Video),gGdGFtwCNBE,The Killers,Mr. Brightside (Official Music Video)
Eric Carmen - All by Myself (Audio),iN9CjAfo5n0,Eric Carmen,All by Myself (Audio)
The Offspring - Pretty Fly (For A White Guy) (Official Music Video),QtTR-_Klcq8,The Offspring,Pretty Fly (For A White Guy) (Official Music Video)
"Tujhse Naraz Nahi Zindagi (Lyrics) - | Lata Mangeshkar #RIP | R.D. Burman, Gulzar | Masoom 1983",9u-DCn0wDVI,Tujhse Naraz Nahi Zindagi (Lyrics),"| Lata Mangeshkar #RIP | R.D. Burman, Gulzar | Masoom 1983"
blink-182 - What's My Age Again? (Official Music Video),K7l5ZeVVoCA,blink,182 - What's My Age Again? (Official Music Video)
Oasis - Wonderwall (Official Video),6hzrDeceEKc,Oasis,Wonderwall (Official Video)
Neil Young - Heart of Gold (Lyrics),6OrofA5U-lY,Neil Young,Heart of Gold (Lyrics)
Father and Son (lyrics) - Cat Stevens,JCQVnSOFqfM,Father and Son (lyrics),Cat Stevens
Sum 41 - Pieces (Official Music Video),By7ctqcWxyM,Sum 41,Pieces (Official Music Video)
The 100 music 3x13 - Radioactive - Koda,x4jRPwAgwzA,The 100 music 3x13,Radioactive - Koda
U2 - Bad,l2puvI4IfG0,U2,Bad
